ADX_THRESHOLD_LONG,ADX_THRESHOLD_SHORT,ROC_THRESHOLD_LONG,ROC_THRESHOLD_SHORT,TARGET_MULTIPLIER,STOP_LOSS_ATR_MULT,MAX_HOLDING_DAYS,PARTIAL_EXIT_THRESHOLD,sharpe_oos,n_trades
30,30,0.8,0.8,1.2,2.0,3,0.05,1.3523891579210099,291
20,35,0.8,0.5,1.5,1.0,3,0.1,1.3516373665721093,477
25,35,0.8,1.2,2.0,1.0,3,0.07,1.3509446835915488,387
30,35,0.8,1.2,1.2,2.0,7,0.05,1.3479014630901542,255
30,35,0.8,0.8,2.0,2.0,3,0.05,1.347406596121451,273
30,35,0.8,0.8,1.5,2.0,3,0.05,1.347406596121451,273
30,35,0.8,0.5,1.2,2.0,3,0.05,1.3454687140565904,276
30,35,0.8,0.8,1.2,2.0,3,0.1,1.3442864486056585,273
20,35,0.8,1.2,1.5,1.0,7,0.1,1.3439002831851286,456
20,30,0.8,0.5,1.5,1.0,7,0.07,1.3428477973632789,480
30,35,0.8,1.2,2.0,2.0,7,0.05,1.3417144555943985,252
30,25,0.8,0.5,1.5,1.0,3,0.05,1.3413855330673325,387
20,30,0.8,0.8,1.5,1.0,7,0.05,1.3394334942080972,477
30,30,0.8,1.2,1.2,2.0,7,0.05,1.339234701497548,273
20,30,0.8,0.8,1.5,1.0,7,0.1,1.3366276106383073,477
30,30,0.8,1.2,1.2,2.0,7,0.1,1.332605161788505,273
30,35,0.8,0.8,1.5,2.0,7,0.1,1.3317981107498753,255
20,30,0.8,1.2,1.2,2.0,3,0.05,1.3311534438825319,414
25,30,0.8,1.2,2.0,1.0,3,0.1,1.329600541626523,405
30,25,0.8,0.8,1.5,1.0,7,0.05,1.3293011942748378,372
25,35,0.8,1.2,2.0,1.0,3,0.1,1.3282545073560421,387
30,35,0.3,1.2,2.0,1.0,3,0.07,1.3276507227444,345
20,35,0.8,1.2,1.2,2.0,3,0.05,1.3274738534864112,396
20,30,0.8,0.5,1.5,1.0,7,0.05,1.3274382044384452,480
30,30,0.8,0.5,1.2,2.0,3,0.05,1.327285617027732,294
30,25,0.8,1.2,2.0,1.0,7,0.1,1.3265466345488506,354
